asin,domain_id,market,title,new_price,used_price,discount_percent
B0BCKPWXPT,4,FR,,,,
B09S9NKNG1,4,FR,,,,
B09VT7MB3P,4,FR,,,,
B09M2Q9SBJ,4,FR,,,,
B0BM3B84FZ,4,FR,,,,
B0BM3BDL1M,4,FR,,,,
B09YW5PBVB,4,FR,,,,
B0BQLLFG2W,4,FR,,,,
B0BM3BFZ8B,4,FR,,,,
B0C13VDDBQ,4,FR,,,,
B0C13YM2SR,4,FR,,,,
B0C9G3FMWK,4,FR,,,,
B08JQ5GTRN,4,FR,,,,
B08WZJQSQ3,4,FR,,,,
B09CGBBVMK,4,FR,,,,
B0BGGWYJXT,4,FR,,,,
B09JGGBMDR,4,FR,,,,
B0BJZT3JF8,4,FR,,,,
B09JGB7NLC,4,FR,,,,
B0BM7N7TDN,4,FR,,,,
B0B4YDTMJJ,4,FR,,,,
B0C93VJX4Q,4,FR,,,,
B0BJ1MV3XN,4,FR,,,,
B0C93VHX6S,4,FR,,,,
B0BZ2LZ2LB,4,FR,,,,
B0BZ2L2TLL,4,FR,,,,
B0C4VVKZMJ,4,FR,,,,
B0C4VX2NJS,4,FR,,,,
B0C7G2Y4MF,4,FR,,,,
B0BN5M4D5F,4,FR,,,,
B0BN5NSQNF,4,FR,,,,
B08VK6D4YH,4,FR,,,,
B08G4ZJLHW,4,FR,,,,
B09VFKLG2N,4,FR,,,,
B09K65D68K,4,FR,,,,
B08VK6RPWJ,4,FR,,,,
B07VZ3XKPJ,4,FR,,,,
B09DFQN5D3,4,FR,,,,
B0B75PKX2G,4,FR,,,,
B09NYPFKPX,4,FR,,,,
B09NYNHPVT,4,FR,,,,
B07FZ5GPH3,4,FR,,,,
B08P39WJV2,4,FR,,,,
B09QNLXNVQ,4,FR,,,,
B0913WWVPH,4,FR,,,,
B08JJDZ7R2,4,FR,,,,
B0BKRHHVTL,4,FR,,,,
B083GTF9BR,4,FR,,,,
B0B3QDKN4D,4,FR,,,,
B09NQ5WX6X,4,FR,,,,
B0948RY6XV,4,FR,,,,
B09CGPGQBR,4,FR,,,,
B09P2PNQJP,4,FR,,,,
B09P2MVMBZ,4,FR,,,,
B0BQXL4ZLY,4,FR,,,,
B09YYH4WMP,4,FR,,,,
B0BKRJ4GQS,4,FR,,,,
B0BM3BGMP9,4,FR,,,,
B0BVLV2GZF,4,FR,,,,
B07ZTFHQFP,4,FR,,,,
B07W7VFJTS,4,FR,,,,
B07WRQKQLX,4,FR,,,,
B08HWPMQ2X,4,FR,,,,
B07CWJFNWW,4,FR,,,,
B097NZD9T1,4,FR,,,,
B09B3W2P7T,4,FR,,,,
B08HZRR6MN,4,FR,,,,
B08HZQ7R2S,4,FR,,,,
B01E8KO2B0,4,FR,,,,
B07WGFC44F,8,IT,,,,
B01N4FXKH5,8,IT,,,,
B003ELVLKU,8,IT,,,,
B07QKD9V4F,8,IT,,,,
B07FWHKJXH,8,IT,,,,
B08CVY5G6Q,8,IT,,,,
B08CRDDXDC,8,IT,,,,
B08DTGCKKX,8,IT,,,,
B0B3QDNV44,8,IT,,,,
B09QX3PLWB,8,IT,,,,
B09F3Z8P3B,8,IT,,,,
B07CMQF9C7,8,IT,,,,
B09MTYZBXF,8,IT,,,,
B0B7NQHTSB,8,IT,,,,
B09TPJQ8GV,8,IT,,,,
B07C7DTGMF,8,IT,,,,
B07R7FFVG4,8,IT,,,,
B0BG9XFMC4,8,IT,,,,
B0BKRGMKM1,8,IT,,,,
B09ZVB8VKQ,8,IT,,,,
B07KQL9C1H,8,IT,,,,
B07YN2F4ZF,8,IT,,,,
B08R1MHS9C,8,IT,,,,
B09Y7J1ZLQ,8,IT,,,,
B09MLKZP8K,8,IT,,,,
B09MTYXNWK,8,IT,,,,
B0BHM5VP6C,8,IT,,,,
B0CKWQXMQJ,8,IT,,,,
B0BRDCT46B,8,IT,,,,
B0BRDBT7PR,8,IT,,,,
B0BRDDK8TW,8,IT,,,,
B0BRD9XTXR,8,IT,,,,
B09CGHTB5N,8,IT,,,,
B0B4Y2MYVJ,8,IT,,,,
B07Y5VFXZL,8,IT,,,,
B08H97NYGJ,8,IT,,,,
B09B9KCP8Y,8,IT,,,,
B08R3LH8BF,8,IT,,,,
B0C1XZV9YF,8,IT,,,,
B0BWZQJ5KW,8,IT,,,,
B009EOZ41Y,8,IT,,,,
B00VBGT00Q,8,IT,,,,
B007VDPID6,8,IT,,,,
B014EUQOGK,8,IT,,,,
B00ZK4RK3K,8,IT,,,,
B082TN5P76,8,IT,,,,
B08STKPTJ8,8,IT,,,,
B09K4ZYWKZ,8,IT,,,,
B0B9ZK5M5W,8,IT,,,,
B00FVKLR42,8,IT,,,,
B079PRXQPL,8,IT,,,,
B0187CKZVE,8,IT,,,,
B00XBGG62Y,8,IT,,,,
B06XKNR8LJ,8,IT,,,,
B07PMBHH1D,8,IT,,,,
B07PM9HWK1,8,IT,,,,
B0794WQSPS,8,IT,,,,
B07PM8T4Y1,8,IT,,,,
B00VBGT0J6,8,IT,,,,
B0814FXW5G,8,IT,,,,
B07DHNX4XB,8,IT,,,,
B00MBLQGGE,8,IT,,,,
B09B96KFQX,8,IT,,,,
B07BHV6SHW,8,IT,,,,
B07PM9HWDT,8,IT,,,,
B07PMB5N38,8,IT,,,,
B09BSLJKFH,8,IT,,,,
B09BS7JLTT,8,IT,,,,
B0C4FHFVMT,8,IT,,,,
B07H4Z4JQG,8,IT,,,,
B00450LDR4,8,IT,,,,
B077XCXZKK,8,IT,,,,
B09ZD1J9ZQ,8,IT,,,,
B0BQHRSQG5,8,IT,,,,
B09H2KQTWF,8,IT,,,,
B0795DW9MT,8,IT,,,,
B01NABDNPH,8,IT,,,,
B01MZYSL9C,8,IT,,,,
B019YH3KOQ,8,IT,,,,
B07YGBMHCK,8,IT,,,,
B08HQ3VZ77,8,IT,,,,
B07YH9BMKW,8,IT,,,,
B08GYWKLZN,8,IT,,,,
B0BWMQPL88,8,IT,,,,
B0C9G5SM3H,8,IT,,,,
B0BG56B64Q,8,IT,,,,
B0B53BMVQR,8,IT,,,,
B09ZTHKFN3,8,IT,,,,
B07YGBVF81,8,IT,,,,
B07S92G6DL,8,IT,,,,
B07VLBPZMV,8,IT,,,,
B0BFB6YRRX,8,IT,,,,
B09GH5YPLT,8,IT,,,,
B08FWF2LRZ,8,IT,,,,
B07GGTZQX2,8,IT,,,,
B07K6MMPFK,8,IT,,,,
B07RFSVGDN,8,IT,,,,
B09Q2M2WGH,8,IT,,,,
B08FK7YPBB,8,IT,,,,
B09R7CXJJ5,8,IT,,,,
B09T3WMVT5,8,IT,,,,
B0BVPNWB5T,8,IT,,,,
B0BWRB9LFG,8,IT,,,,
B0BG7TW9HC,8,IT,,,,
B0BG7Q4VZ6,8,IT,,,,
B0BG7Q7VBL,8,IT,,,,
B0C3CXBGDK,8,IT,,,,
B0C3CX7NSV,8,IT,,,,
B0C17K93XZ,8,IT,,,,
B07T5XVYQL,8,IT,,,,
B0821CRNDX,8,IT,,,,
B09JD4ND26,8,IT,,,,
B07YM2DLBP,8,IT,,,,
B09NYNKPBK,8,IT,,,,
B08BF4NGWN,8,IT,,,,
B083BXTV5N,8,IT,,,,
B07S5G9VTF,8,IT,,,,
B09K3T6YN6,8,IT,,,,
B0948RZPRD,8,IT,,,,
B08P281G8Z,8,IT,,,,
B09BYJJT5X,8,IT,,,,
B09BYK2GGZ,8,IT,,,,
B09NYLKPBK,8,IT,,,,
B0BKPWJ82K,8,IT,,,,
B0BT7GLTL2,8,IT,,,,
B0BT7NHGPN,8,IT,,,,
B0BWGF2YCH,8,IT,,,,
B0C63VHVLP,8,IT,,,,
B09M1PQ8RN,8,IT,,,,
B09GR7HS6D,8,IT,,,,
B08X4FJF1N,8,IT,,,,
B08PC2ZQMM,8,IT,,,,
B07FXTJN7Y,8,IT,,,,
B09VSWSRWK,8,IT,,,,
B0BCKPWXPT,8,IT,,,,
B09S9NKNG1,8,IT,,,,
B09VT7MB3P,8,IT,,,,
B09M2Q9SBJ,8,IT,,,,
B0BM3B84FZ,8,IT,,,,
B0BM3BDL1M,8,IT,,,,
B09YW5PBVB,8,IT,,,,
B0BQLLFG2W,8,IT,,,,
B0BM3BFZ8B,8,IT,,,,
B0C13VDDBQ,8,IT,,,,
B0C13YM2SR,8,IT,,,,
B0C9G3FMWK,8,IT,,,,
B08JQ5GTRN,8,IT,,,,
B08WZJQSQ3,8,IT,,,,
B09CGBBVMK,8,IT,,,,
B0BGGWYJXT,8,IT,,,,
B09JGGBMDR,8,IT,,,,
B0BJZT3JF8,8,IT,,,,
B09JGB7NLC,8,IT,,,,
B0BM7N7TDN,8,IT,,,,
B0B4YDTMJJ,8,IT,,,,
B0C93VJX4Q,8,IT,,,,
B0BJ1MV3XN,8,IT,,,,
B0C93VHX6S,8,IT,,,,
B0BZ2LZ2LB,8,IT,,,,
B0BZ2L2TLL,8,IT,,,,
B0C4VVKZMJ,8,IT,,,,
B0C4VX2NJS,8,IT,,,,
B0C7G2Y4MF,8,IT,,,,
B0BN5M4D5F,8,IT,,,,
B0BN5NSQNF,8,IT,,,,
B08VK6D4YH,8,IT,,,,
B08G4ZJLHW,8,IT,,,,
B09VFKLG2N,8,IT,,,,
B09K65D68K,8,IT,,,,
B08VK6RPWJ,8,IT,,,,
B07VZ3XKPJ,8,IT,,,,
B09DFQN5D3,8,IT,,,,
B0B75PKX2G,8,IT,,,,
B09NYPFKPX,8,IT,,,,
B09NYNHPVT,8,IT,,,,
B07FZ5GPH3,8,IT,,,,
B08P39WJV2,8,IT,,,,
B09QNLXNVQ,8,IT,,,,
B0913WWVPH,8,IT,,,,
B08JJDZ7R2,8,IT,,,,
B0BKRHHVTL,8,IT,,,,
B083GTF9BR,8,IT,,,,
B0B3QDKN4D,8,IT,,,,
B09NQ5WX6X,8,IT,,,,
B0948RY6XV,8,IT,,,,
B09CGPGQBR,8,IT,,,,
B09P2PNQJP,8,IT,,,,
B09P2MVMBZ,8,IT,,,,
B0BQXL4ZLY,8,IT,,,,
B09YYH4WMP,8,IT,,,,
B0BKRJ4GQS,8,IT,,,,
B0BM3BGMP9,8,IT,,,,
B0BVLV2GZF,8,IT,,,,
B07ZTFHQFP,8,IT,,,,
B07W7VFJTS,8,IT,,,,
B07WRQKQLX,8,IT,,,,
B08HWPMQ2X,8,IT,,,,
B07CWJFNWW,8,IT,,,,
B097NZD9T1,8,IT,,,,
B09B3W2P7T,8,IT,,,,
B08HZRR6MN,8,IT,,,,
B08HZQ7R2S,8,IT,,,,
B01E8KO2B0,8,IT,,,,
B07WGFC44F,9,ES,,,,
B01N4FXKH5,9,ES,,,,
B003ELVLKU,9,ES,,,,
B07QKD9V4F,9,ES,,,,
B07FWHKJXH,9,ES,,,,
B08CVY5G6Q,9,ES,,,,
B08CRDDXDC,9,ES,,,,
B08DTGCKKX,9,ES,,,,
B0B3QDNV44,9,ES,,,,
B09QX3PLWB,9,ES,,,,
B09F3Z8P3B,9,ES,,,,
B07CMQF9C7,9,ES,,,,
B09MTYZBXF,9,ES,,,,
B0B7NQHTSB,9,ES,,,,
B09TPJQ8GV,9,ES,,,,
B07C7DTGMF,9,ES,,,,
B07R7FFVG4,9,ES,,,,
B0BG9XFMC4,9,ES,,,,
B0BKRGMKM1,9,ES,,,,
B09ZVB8VKQ,9,ES,,,,
B07KQL9C1H,9,ES,,,,
B07YN2F4ZF,9,ES,,,,
B08R1MHS9C,9,ES,,,,
B09Y7J1ZLQ,9,ES,,,,
B09MLKZP8K,9,ES,,,,
B09MTYXNWK,9,ES,,,,
B0BHM5VP6C,9,ES,,,,
B0CKWQXMQJ,9,ES,,,,
B0BRDCT46B,9,ES,,,,
B0BRDBT7PR,9,ES,,,,
B0BRDDK8TW,9,ES,,,,
B0BRD9XTXR,9,ES,,,,
B09CGHTB5N,9,ES,,,,
B0B4Y2MYVJ,9,ES,,,,
B07Y5VFXZL,9,ES,,,,
B08H97NYGJ,9,ES,,,,
B09B9KCP8Y,9,ES,,,,
B08R3LH8BF,9,ES,,,,
B0C1XZV9YF,9,ES,,,,
B0BWZQJ5KW,9,ES,,,,
B009EOZ41Y,9,ES,,,,
B00VBGT00Q,9,ES,,,,
B007VDPID6,9,ES,,,,
B014EUQOGK,9,ES,,,,
B00ZK4RK3K,9,ES,,,,
B082TN5P76,9,ES,,,,
B08STKPTJ8,9,ES,,,,
B09K4ZYWKZ,9,ES,,,,
B0B9ZK5M5W,9,ES,,,,
