asin,title,price,market,keyword,scraped_at
B0FHVS4B7D,"63,74 €
63
,
74€",,ES,teclado mecanico,2026-02-19T20:41:13.122773+00:00
B0DQQ87W32,"34,99 €
34
,
99€",,ES,teclado mecanico,2026-02-19T20:41:13.138255+00:00
B0DFWVT9HF,"200,37 €
200
,
37€",,ES,teclado mecanico,2026-02-19T20:41:13.156140+00:00
B0FKVBZ2PD,"44,99 €
44
,
99€",,ES,teclado mecanico,2026-02-19T20:41:13.173102+00:00
B00564NI9U,"12,90 €
12
,
90€",,ES,teclado alem,2026-02-19T20:41:18.372472+00:00
B0879KGWTY,"80,34 €
80
,
34€",,ES,teclado alem,2026-02-19T20:41:18.399203+00:00
B09CF44X5T,N/A,,ES,teclado alem,2026-02-19T20:41:18.411557+00:00
B07CWVV6DB,"56,05 €
56
,
05€",,ES,teclado alem,2026-02-19T20:41:18.431732+00:00
B09BRDPYBW,N/A,,ES,teclado alem,2026-02-19T20:41:18.439706+00:00
B08DG6LBRN,"10,99 €
10
,
99€",,ES,teclado alem,2026-02-19T20:41:18.456833+00:00
B084H165KT,N/A,,ES,teclado alem,2026-02-19T20:41:18.465087+00:00
B0CPM5PGWM,"18,99 €
18
,
99€",,ES,teclado alem,2026-02-19T20:41:18.482614+00:00
B00564GWEI,"18,89 €
18
,
89€",,ES,teclado alem,2026-02-19T20:41:18.500099+00:00
B07W7LMCF9,N/A,,ES,teclado alem,2026-02-19T20:41:18.525471+00:00
B07T63FQ2M,"9,28 €
9
,
28€",,ES,teclado alem,2026-02-19T20:41:18.543775+00:00
B00XYTTEAQ,"29,90 €
29
,
90€",,ES,teclado alem,2026-02-19T20:41:18.560569+00:00
B0C89KJQ9F,"14,77 €
14
,
77€",,ES,teclado alem,2026-02-19T20:41:18.577268+00:00
